,genre,genre_full,plot
Happiness,Comedy,"Comedy, Drama","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
10 Things I Hate About You,Comedy,"Comedy, Drama, Romance","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
Topsy-Turvy,Comedy,"Biography, Comedy, Drama","Set in the 1880s, the story of how, during a creative dry spell, the partnership of the legendary musical/theatrical writers Gilbert and Sullivan almost dissolves, before they turn it all around and write the Mikado."
Office Space,Comedy,Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.
Drop Dead Gorgeous,Comedy,"Comedy, Romance, Thriller",A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.
Sweet and Lowdown,Comedy,"Comedy, Drama, Music","In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman."
Tuvalu,Comedy,"Comedy, Drama, Romance","In a desolate and colorless landscape stands a dilapidated bathhouse run by a puffed-up blind man, his long-suffering wife, and their son Anton, who does all the work. He's lonely and ..."
Ghost World,Comedy,"Comedy, Drama","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives."
Trick,Comedy,"Comedy, Music, Romance","The misadventures of two young gay men, trying to find a place to be alone, one night in Manhattan."
Get Real,Comedy,"Comedy, Drama, Romance",A tenderly romantic coming-of-age story as two boys in a British school fall in love.
The Match,Comedy,"Comedy, Romance, Sport","Two Scottish pub football teams play each other in order to resolve a century-old grudge, with the prize for the winning team being the other team's pub."
Hellboy,Action,"Action, Fantasy, Horror","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness."
Gladiator,Action,"Action, Adventure, Drama","When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
Galaxy Quest,Comedy,"Adventure, Comedy, Sci-Fi","The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord."
But I'm a Cheerleader,Comedy,"Comedy, Drama, Romance",A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.
Minority Report,Action,"Action, Adventure, Crime","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
Almost Famous,Comedy,"Adventure, Comedy, Drama",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
A Knight's Tale,Action,"Action, Adventure, Romance","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
Vuxna människor,Comedy,Comedy,"Frank leads a respectable yuppie life working at a noted Stockholm law firm. He has also been married for eight years to his beautiful wife Nenne, who runs an upscale boutique. Yet Frank is..."
Wonder Boys,Comedy,"Comedy, Drama","An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in."
"Crouching Tiger, Hidden Dragon",Action,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
Endless Summer,Comedy,"Drama, Comedy, Romance",N/A
Julien Donkey-Boy,Comedy,"Comedy, Drama",A portrait of the effects of schizophrenia on family life is the central focus.
Zoolander,Comedy,Comedy,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia."
Where the Heart Is,Comedy,"Comedy, Drama, Romance","A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma."
"Monsters, Inc.",Comedy,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
Kikujiro,Comedy,"Drama, Comedy","A young, naive boy sets out alone on the road to find his wayward mother. Soon he finds an unlikely protector in a crotchety man and the two have a series of unexpected adventures along the way."
The Way of the Gun,Action,"Action, Crime, Drama",Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.
Sordid Lives,Comedy,"Comedy, Romance","As three generations of a family in a small Texas town gather for a funeral, we learn the hilarious, sad, trashy truth of the ""Sordid Lives."""
Bring It On,Comedy,"Comedy, Romance, Sport",A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.
Snatch,Comedy,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Downtown 81,Comedy,"Biography, Comedy, Drama","The film is a day in the life of a young artist, Jean Michel Basquiat, who needs to raise money to reclaim the apartment from which he has been evicted. He wanders the downtown streets ..."
Amélie,Comedy,"Comedy, Romance","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Big Eden,Comedy,"Comedy, Drama, Romance","Big Eden is a small, fictional northwestern Montana town."
Marine Life,Comedy,"Comedy, Drama","Marine Life revolves around the choatic family life of June, a middle-aged lounge singer and mother. June is trying to hold on to her career, her beauty, her children and her most recent ..."
Best in Show,Comedy,Comedy,A colorful array of characters compete at a national dog show.
The Fast and the Furious,Action,"Action, Crime, Thriller",Los Angeles police officer Brian O'Connor must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
Bread and Tulips,Comedy,"Comedy, Romance","After being forgotten in a highway café during a bus trip, a housewife decides to start a new life by herself in Venice."
Equilibrium,Action,"Action, Drama, Sci-Fi","In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state."
Serendipity,Comedy,"Comedy, Romance","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together."
Bridget Jones's Diary,Comedy,"Comedy, Drama, Romance",A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.
Pursuit of Happiness,Comedy,"Comedy, Romance","An advertising executive fails to realize that the woman of his dreams is his best friend since first grade, now married to his cheating co-worker."
Wet Hot American Summer,Comedy,"Comedy, Romance","Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends."
The American Astronaut,Comedy,"Musical, Comedy, Sci-Fi","Samuel Curtis, an interplanetary trader, sets forth through a rustic and remote solar system, unaware that his old friend Professor Hess is trying to kill him."
Y Tu Mamá También,Comedy,"Adventure, Comedy, Drama","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
The Count of Monte Cristo,Action,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
Dummy,Comedy,"Comedy, Drama, Romance","An ex-office worker becomes a ventriloquist, leading to a date with his unemployment counselor; but his quirky family and a gauche female friend may thwart his new career and love life."
Mostly Martha,Comedy,"Comedy, Romance, Drama","When a headstrong chef takes charge of her equally stubborn 8-year-old niece, the tensions between them mount... until an Italian sous-chef arrives to lighten the mood."
Super Troopers,Comedy,"Comedy, Crime, Mystery","Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
Hedwig and the Angry Inch,Comedy,"Comedy, Drama, Music",A transgender punk-rock girl from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
Legally Blonde,Comedy,"Comedy, Romance","Elle Woods, a fashionable sorority queen is dumped by her boyfriend. She decides to follow him to law school, while she is there she figures out that there is more to her than just looks."
Time and Tide,Action,"Action, Crime, Drama","Tyler is a restless, streetwise 21-year-old Hong Kong native who's had trouble gaining the trust of others all his life. He secretly fantasizes about living the good life in South America. ..."
Maid in Manhattan,Comedy,"Comedy, Drama, Romance","A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress."
Heist,Action,"Action, Crime, Drama","A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch."
Out Cold,Comedy,"Comedy, Sport",A snowboarder's plans for his own snowboard park go awry when an ex-girlfriend returns to town.
The Bourne Identity,Action,"Action, Mystery, Thriller","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
Bubble Boy,Comedy,"Adventure, Comedy, Romance",A young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom finds out that the woman he has loved since childhood is about to be married ...
My Big Fat Greek Wedding,Comedy,"Comedy, Drama, Romance",A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
Jay and Silent Bob Strike Back,Comedy,Comedy,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie."
Kissing Jessica Stein,Comedy,"Comedy, Drama, Romance",A woman searching for the perfect man instead discovers the perfect woman.
The Royal Tenenbaums,Comedy,"Comedy, Drama",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
Death to Smoochy,Comedy,"Comedy, Crime, Drama","A kids show host, Rainbow Randolph, is fired in disgrace while his replacement, Sheldon Mopes, aka Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the business of kids television isn't all child's play."
Finding Nemo,Comedy,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Spy Game,Action,"Action, Crime, Thriller",Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.
Wild Zero,Comedy,"Comedy, Horror, Music",Only legendary Japanese garage rock band Guitar Wolf can stand between a race of aliens from destroying earth with an army of zombies.
Adaptation.,Comedy,"Comedy, Drama",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
Ice Age,Comedy,"Animation, Adventure, Comedy","Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe."
Confessions of a Dangerous Mind,Comedy,"Biography, Comedy, Crime","An adaptation of the cult memoir of game show impresario Chuck Barris, in which he purports to have been a CIA hitman."
Punch-Drunk Love,Comedy,"Comedy, Drama, Romance","A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding."
Poolhall Junkies,Comedy,"Comedy, Drama, Sport","A talented pool hustler who has stayed out of the game for years, must go back to his old ways when his little brother gets involved with his enemy, the very man who held him back from greatness."
24 Hour Party People,Comedy,"Biography, Comedy, Drama","In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world."
Secretary,Comedy,"Comedy, Drama, Romance","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
About a Boy,Comedy,"Comedy, Drama, Romance","A cynical, immature young man is taught how to act like a grown-up by a little boy."
Elling,Comedy,"Comedy, Drama","When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and..."
Gosford Park,Comedy,"Comedy, Drama, Mystery",The lives of upstairs guests and downstairs servants at a party in 1932 in a country house in England as they investigate a murder involving one of them.
Spun,Comedy,"Comedy, Crime, Drama","A drug dealer introduces one of his customers, a 'speed freak', to the man who runs the meth lab. A crazy three-day adventure ensues."
8 Women,Comedy,"Comedy, Crime, Musical","One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!"
The Triplets of Belleville,Comedy,"Animation, Comedy, Drama","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
Bend It Like Beckham,Comedy,"Comedy, Drama, Romance",The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.
Full Frontal,Comedy,"Comedy, Romance","A day in the life of a group of men and women in Hollywood, in the hours leading up to a friend's birthday party."
Swept Away,Comedy,"Comedy, Romance",A snooty socialite is stranded on a Mediterranean island with a communist sailor.
My Sassy Girl,Comedy,"Comedy, Drama, Romance","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
The Chronicles of Riddick,Action,"Action, Adventure, Sci-Fi","The wanted criminal Riddick arrives on a planet called Helion Prime, and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe."
Chicago,Comedy,"Comedy, Crime, Musical","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
Hero,Action,"Action, Adventure, History","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
Good Bye Lenin!,Comedy,"Comedy, Drama, Romance","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
Old School,Comedy,Comedy,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.
American Splendor,Comedy,"Biography, Comedy, Drama",An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.
Public Enemy,Action,"Action, Drama",Ruthless cop Chul-joong and a merciless killer in raincoat run into each other in a small alleyway and form a fatal bond. A free-for-all fight occurs by coincidence on a rainy street. A ...
Bad Santa,Comedy,"Comedy, Crime, Drama",A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.
Down with Love,Comedy,"Comedy, Romance","In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author."
Pieces of April,Comedy,"Comedy, Drama",A wayward daughter invites her dying mother and the rest of her estranged family to her apartment for Thanksgiving dinner.
The Curse of the Were-Rabbit,Comedy,"Animation, Adventure, Comedy","Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest."
Love Actually,Comedy,"Comedy, Drama, Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Open Range,Action,"Action, Drama, Romance",A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
Cars,Comedy,"Animation, Comedy, Family","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Incredibles,Action,"Animation, Action, Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
The Italian Job,Action,"Action, Crime, Thriller","After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
The Day After Tomorrow,Action,"Action, Adventure, Sci-Fi","Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City, to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age."
Mondays in the Sun,Comedy,"Comedy, Drama","This is the story of those who live as if every day was a constant Sunday, those who spend their Mondays in the sun. The story of people who worked in a dockyard but are now unemployed."
Underworld,Action,"Action, Fantasy, Thriller","Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
Sabah,Comedy,"Comedy, Drama, Romance","One day, when Sabah least expects it, she falls in love with the wrong man. She's Muslim, he's not. Unbeknownst to her family, she goes on a whirlwind affair before both culture and love collide."
The Last Samurai,Action,"Action, Drama, History",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
Biker Boyz,Action,"Action, Drama",A son of the leader of a legendary group of an urban biker gang tries to retain his championship title.
Over the Hedge,Comedy,"Animation, Adventure, Comedy","A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
Secondhand Lions,Comedy,"Comedy, Drama, Family","A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas."
Under the Tuscan Sun,Comedy,"Comedy, Drama, Romance",A writer impulsively buys a villa in Tuscany in order to change her life.
Saved!,Comedy,"Comedy, Drama","When a girl attending a Christian high school becomes pregnant, she finds herself ostracized and demonized, as all of her former friends turn on her."
School of Rock,Comedy,"Comedy, Music","After being kicked out of a rock band, Dewey Finn becomes a substitute teacher of a strict elementary private school, only to try and turn it into a rock band."
Garden State,Comedy,"Comedy, Drama, Romance",A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.
The Station Agent,Comedy,"Comedy, Drama","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
Camp,Comedy,"Comedy, Musical, Drama","After a series of Broadway flops, songwriter Bert Hanley (Dixon) goes to work at a musical camp for young performers. Inspired by the kids, he finds an opportunity to regain success by staging an altogether new production."
Four Shades of Brown,Comedy,"Comedy, Drama","An eccentric millionaire dies at a manor in Dalarna in Sweden, leaving behind three sons and a mistress. One of four parallel stories about parents and children. Four sides of Sweden. Four shades of brown."
50 First Dates,Comedy,"Comedy, Drama, Romance","Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day."
Latter Days,Comedy,"Comedy, Drama, Romance","A promiscuous gay party animal falls for a young Mormon missionary, leading to crisis, cliché, and catastrophe."
Godfather,Comedy,"Comedy, Drama, Romance",Two youngsters from rival clans fall in love.
The Science of Sleep,Comedy,"Comedy, Drama, Fantasy",A man entranced by his dreams and imagination is love-struck with a French woman and feels he can show her his world.
EuroTrip,Comedy,Comedy,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends."
I Heart Huckabees,Comedy,Comedy,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means."
King Kong,Action,"Action, Adventure, Drama","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to the mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow."
The Terminal,Comedy,"Comedy, Drama, Romance","An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there."
The Life Aquatic with Steve Zissou,Comedy,"Adventure, Comedy, Drama","With a plan to exact revenge on a mythical shark that killed his partner, oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
Dawn of the Dead,Action,"Action, Horror, Thriller","A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall."
Love Me If You Dare,Comedy,"Comedy, Drama, Romance","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another."
Oldboy,Action,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Shaun of the Dead,Comedy,"Comedy, Horror","A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living."
Tenacious D in The Pick of Destiny,Comedy,"Adventure, Comedy, Music","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Harold & Kumar Go to White Castle,Comedy,"Adventure, Comedy",A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.
The Squid and the Whale,Comedy,"Comedy, Drama",Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.
The Room,Comedy,"Comedy, Drama","Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored with him and decides to seduce his best friend, Mark. From there, nothing will be the same again."
The Hitchhiker's Guide to the Galaxy,Comedy,"Adventure, Comedy, Sci-Fi","Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."""
Iron Man,Action,"Action, Adventure, Sci-Fi","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Batman Begins,Action,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Eating Out,Comedy,"Comedy, Drama, Romance","After getting dumped by his slutty girlfriend, Caleb falls in love with Gwen. However, thanks to Caleb's roommate, Gwen thinks he's gay and sets him up with her roommate, Marc."
Napoleon Dynamite,Comedy,Comedy,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home."
Sideways,Comedy,"Comedy, Drama, Romance","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
Mean Girls,Comedy,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Coffee and Cigarettes,Comedy,"Comedy, Drama, Music",A series of vignettes that all have coffee and cigarettes in common.
Serenity,Action,"Action, Adventure, Sci-Fi",The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.
Ratatouille,Comedy,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
"Synecdoche, New York",Comedy,"Comedy, Drama","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play."
Kicking & Screaming,Comedy,"Comedy, Family, Romance","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating."
House of Flying Daggers,Action,"Action, Adventure, Drama","A romantic police captain breaks a beautiful member of a rebel group out of prison to help her rejoin her fellows, but things are not what they seem."
Hitch,Comedy,"Comedy, Romance","While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten."
Idiocracy,Comedy,"Adventure, Comedy, Sci-Fi","Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive."
The Raspberry Reich,Comedy,"Comedy, Drama, Romance","A left-wing terrorist group, consisting of several homosexual men and a female leader, kidnaps the son of a wealthy industrialist."
Super Size Me,Comedy,"Documentary, Comedy, Drama","While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month."
Brick,Action,"Action, Crime, Drama",A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.
The Producers,Comedy,"Comedy, Musical","After putting together another Broadway flop, down-on-his-luck Producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show."
Wedding Crashers,Comedy,"Comedy, Romance","John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
The Island,Action,"Action, Adventure, Romance","A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth."
Appleseed,Action,"Animation, Action, Drama","In a utopian society created at the end of the third world war, a female warrior who has been plucked from the badlands begins to see cracks in this new facade. And what does this community have planned for the rest of humankind?"
"Paris, je t'aime",Comedy,"Comedy, Drama, Romance","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented and awakened."
Æon Flux,Action,"Action, Adventure, Drama","Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found."
You I Love,Comedy,"Comedy, Romance","On their first anniversary, Vera comes home to discover her boyfriend Tim in bed with another man."
Everything Is Illuminated,Comedy,"Comedy, Drama","A young Jewish American man endeavors to find the woman who saved his grandfather during World War II in a Ukrainian village, that was ultimately razed by the Nazis, with the help of an eccentric local."
The 40-Year-Old Virgin,Comedy,"Comedy, Romance","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
Battlestar Galactica,Action,"Action, Adventure, Drama","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
Watchmen,Action,"Action, Drama, Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
Broken Flowers,Comedy,"Comedy, Drama, Mystery","As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers."
Wassup Rockers,Comedy,"Comedy, Drama","Instead of adhering to the norms of their South Central neighborhood, a group of skater boys opt to bus into Hollywood and Beverly Hills, where they attract local rich girls - and plenty of..."
Me and You and Everyone We Know,Comedy,"Comedy, Drama",A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.
300,Action,"Action, Fantasy",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Transformers,Action,"Action, Adventure, Sci-Fi","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
Stranger Than Fiction,Comedy,"Comedy, Drama, Fantasy","An I.R.S. auditor suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death."
Balls of Fury,Comedy,"Comedy, Crime, Sport","Down-and-out former professional ping-pong phenom, Randy Daytona, is sucked into a maelstrom when FBI Agent Ernie Rodriguez recruits him for a secret mission. Randy is determined to bounce back and win, and to smoke out his father's killer -- arch-fiend Feng."
Outsourced,Comedy,"Comedy, Drama, Romance","After his entire department is outsourced, an American novelty products salesman (Hamilton) heads to India to train his replacement."
Hairspray,Comedy,"Comedy, Drama, Music",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
The Method,Comedy,"Comedy, Crime, Drama","During IMF & World Bank Summit and demonstrations which upset Madrid, like other capitals, major corporation Dekia holds interviews to recruit a top executive from seven applicants. Their ..."
Thank You for Smoking,Comedy,"Comedy, Drama","Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son."
Fantastic Mr. Fox,Comedy,"Animation, Adventure, Comedy",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
Just Friends,Comedy,"Comedy, Romance","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer."
V for Vendetta,Action,"Action, Drama, Sci-Fi","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
Toy Story 3,Comedy,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
The Aristocrats,Comedy,"Documentary, Comedy","One hundred superstar comedians tell the same very, VERY dirty, filthy joke--one shared privately by comics since Vaudeville."
Running with Scissors,Comedy,"Comedy, Drama","Young Augusten Burroughs absorbs experiences that could make for a shocking memoir: the son of an alcoholic father and an unstable mother, he's handed off to his mother's therapist, Dr. Finch, and spends his adolescent years as a member of Finch's bizarre extended family."
Slither,Comedy,"Comedy, Horror, Sci-Fi","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
Kung Fu Panda,Action,"Animation, Action, Adventure","The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts."
